Title,Genre,Language,Release Date,Country,Budget (M USD),Lifetime Gross (M USD),Number of Screens,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Marketing Budget (M USD),Hit or Flop
The Last Exorcisma,Horror,Japanese,42873,UK,49.11,286.38,3711,6.6,35,387785,10.18,Collection not met
The Insidera,Horror,Japanese,42412,Japan,93.1,285.93,3760,5.2,65,495359,15.61,Collection not met
Foolisha,Action,Korean,42033,Japan,242.26,285.87,2133,9.1,32,264424,44.54,Collection not met
Pushing Tina,Adventure,Telugu,44175,UK,7.11,285.71,4539,5.8,32,243626,2.11,Collection not met
Hansel & Gretel: Witch Huntersa,Thriller,Tamil,43359,Germany,294.5,285.51,3778,8.4,77,355647,50.45,Collection not met
The Bone Collectora,Romance,Telugu,45141,France,285.13,285.49,4704,5.5,39,254989,119.49,Collection not met
Ace Ventura: When Nature Callsa,Sci-Fi,Hindi,43039,China,162.45,285.04,3460,9.7,29,328012,60.54,Collection not met
Sinistera,Horror,French,42192,China,249.93,284.48,578,8.4,46,151323,71.81,Collection not met
The Other Guysa,Thriller,English,41391,USA,9.81,284.47,4465,9.2,41,492613,4.27,Collection not met
Cranka,Romance,English,44591,Germany,70.43,284.13,3233,4.2,93,138048,9.01,Collection not met
The Eyea,Action,Telugu,44735,South Korea,175.18,283.63,1243,9.2,61,95238,63.75,Collection not met
But I'm a Cheerleadera,Adventure,Japanese,42721,Japan,266.9,282.85,1689,10,62,288346,62.91,Collection not met
Walking Talla,Drama,German,42896,China,236.41,282.38,1806,6.7,24,181553,24.92,Collection not met
Imaginary Heroesa,Drama,Telugu,43998,Japan,100.74,282.21,1483,5,99,426683,14.01,Collection not met
Two Weeks Noticea,Adventure,Telugu,42869,Germany,260.97,281.91,2836,5.5,38,282657,93.76,Collection not met
Moulin Rouge!a,Horror,Hindi,41150,Germany,172.99,281.74,4007,7.7,25,103861,52.86,Collection not met
The Legend of Herculesa,Romance,French,45123,Japan,196.21,281.69,3037,8.7,94,349630,51.98,Collection not met
How Do You Knowa,Animation,Hindi,41601,UK,282.52,281.57,1745,7.9,53,314925,60.95,Collection not met
The Mexicana,Sci-Fi,Telugu,44329,Germany,97.22,281.08,4863,5.6,26,249023,30.2,Collection not met
The Brothers Blooma,Drama,English,44563,France,100.95,280.98,2842,8,87,274881,49.12,Collection not met
Maximum Riska,Comedy,French,44194,USA,33.69,280.25,1419,5.7,92,371240,9.71,Collection not met
The Other Dream Teama,Drama,Telugu,44943,Germany,212.39,279.96,553,6.4,64,449198,101.86,Collection not met
Shafta,Comedy,Spanish,41470,Japan,269.81,279.84,3832,5.1,36,128040,126.74,Collection not met
Dick Tracya,Sci-Fi,Spanish,40403,USA,277.35,279.59,4993,6,28,291435,44.38,Collection not met
A Bug's Lifea,Horror,Hindi,41601,France,45.05,278.8,2530,7.3,60,400821,17.02,Collection not met
The Womena,Action,Hindi,44568,South Korea,200.67,278.67,2493,7.8,39,296436,90.38,Collection not met
On Deadly Grounda,Action,French,42690,UK,115.51,278.04,2987,9.6,81,18898,30.17,Collection not met
De-Lovelya,Thriller,Tamil,41005,India,154.07,277.85,1565,7.2,50,393491,48.21,Collection not met
The Foga,Thriller,Tamil,42510,UK,295.46,277.44,2765,5.8,59,259420,89.2,Collection not met
Cheap Thrillsa,Comedy,Korean,40243,Japan,50.06,277.42,2810,6.2,51,166858,16.94,Collection not met
The Girl Next Doora,Animation,Telugu,40398,China,290.26,277.16,4188,7.9,79,343541,54.74,Collection not met
Tumbleweedsa,Animation,Telugu,43868,UK,67.87,276.51,3662,7.4,85,368965,7.43,Collection not met
Interview with the Assassina,Romance,Tamil,41260,USA,77.8,276.48,2716,8.8,86,80797,36.04,Collection not met
Epica,Thriller,Telugu,41881,India,5.2,276.33,1727,6.5,89,120131,0.99,Collection not met
Dunea,Adventure,Telugu,41404,Japan,132.75,275.67,3296,9.7,67,149425,22.38,Collection not met
The Robea,Thriller,Spanish,41386,Germany,82.54,275.56,3014,4.8,49,352483,37.42,Collection not met
Phantasm IIa,Drama,Hindi,42697,USA,143.48,275.37,697,5.1,65,437885,41.27,Collection not met
Mary Reillya,Sci-Fi,Chinese,44348,South Korea,110.98,275.2,2022,8.2,91,78607,24.15,Collection not met
Hotel Transylvania 2a,Drama,Hindi,41454,Germany,20.94,274.53,3865,5.7,57,130882,2.45,Collection not met
Hannah Montana: The Moviea,Adventure,Hindi,43037,Japan,231.22,274.21,4610,5.6,71,102270,106.79,Collection not met
Arlington Roada,Romance,Japanese,44933,South Korea,259.39,273.79,4681,5.9,23,52912,66.46,Collection not met
Living Out Louda,Animation,Telugu,44317,Germany,152.66,273.67,4679,7.2,75,58718,48.01,Collection not met
Being John Malkovicha,Adventure,Japanese,44539,Germany,258.83,273.66,1183,6.6,24,349064,91.21,Collection not met
Stolen Summera,Animation,Chinese,42473,India,102.18,273.64,1227,4.2,59,338241,37.04,Collection not met
Paper Townsa,Comedy,English,41405,UK,202.94,273.57,647,9.4,80,457684,57.55,Collection not met
Sinister 2a,Thriller,English,41947,France,236.69,273.47,650,5.9,91,278368,53.47,Collection not met
Duetsa,Sci-Fi,Hindi,41973,Japan,263.09,273.34,1558,6.5,38,85542,63.39,Collection not met
The Gamblera,Sci-Fi,Spanish,44607,Germany,287.9,273.15,4318,8,86,298220,54.06,Collection not met
Sabotagea,Adventure,Tamil,44434,Japan,130.03,273.11,3949,8.4,46,261482,31.54,Collection not met
Morning Glorya,Horror,Tamil,40275,UK,251.48,273.02,1562,5.9,32,289569,117.13,Collection not met
The Extra Mana,Horror,Hindi,42039,France,130.19,272.67,4388,9,34,13267,26.47,Collection not met
Jakob the Liara,Drama,Tamil,41563,China,173,272.13,3527,5.6,36,146606,80.51,Collection not met
Underworlda,Comedy,French,41537,UK,39.3,271.86,2690,5.8,48,66643,8.3,Collection not met
The American Presidenta,Adventure,French,44237,UK,97.34,271.74,2516,5,57,460113,43.71,Collection not met
Zero Dark Thirtya,Horror,Telugu,45315,France,4.08,271.7,1919,8.2,71,80960,1.16,Collection not met
Mr. Peabody & Shermana,Thriller,Spanish,42805,France,10.19,271.46,701,5.8,94,407383,2.65,Collection not met
Little Childrena,Drama,Tamil,40755,UK,186.26,271.46,2304,6.3,47,435246,71.69,Collection not met
Step Brothersa,Romance,German,43568,Germany,259.54,271.31,1232,8.9,99,248552,93.36,Collection not met
The Rules of Attractiona,Sci-Fi,Telugu,44665,Germany,101.29,271.26,3675,8.8,70,97955,14.58,Collection not met
High Crimesa,Sci-Fi,Japanese,43342,South Korea,193.46,271.25,1867,5.5,76,238168,60.27,Collection not met
The Master of Disguisea,Romance,Japanese,44007,Japan,6.92,271.05,1759,9.8,88,388853,3.38,Collection not met
Criminala,Horror,French,44685,UK,194.26,270.45,1403,7.5,66,57279,37.89,Collection not met
The Brass Teapota,Action,French,42310,Germany,172.77,270.43,526,9.9,54,280473,73.38,Collection not met
Undercover Brothera,Animation,Spanish,42265,Japan,70.29,270.19,2366,5.6,40,236231,31.7,Collection not met
Charlie's Angels: Full Throttlea,Horror,German,43073,Japan,272.22,269.7,3188,4.9,54,410896,112.1,Collection not met
The Transporter Refueleda,Comedy,Tamil,41924,USA,244.03,268.93,1904,5.1,44,190437,93.59,Collection not met
Dragonflya,Thriller,Japanese,41611,China,55.6,268.77,849,8,40,137692,25.36,Collection not met
Are We There Yet?a,Comedy,German,41629,UK,47.13,268.38,1239,4.8,99,377823,13.96,Collection not met
Team America: World Policea,Action,Telugu,44441,South Korea,127.14,266.8,3504,5.1,98,444651,28.41,Collection not met
Richard IIIa,Romance,Japanese,42958,USA,64.34,266.66,2126,4.1,56,94722,28.89,Collection not met
Blade: Trinitya,Action,English,44574,USA,96.19,266.45,2680,5.7,58,185234,32.08,Collection not met
The Hurricanea,Horror,French,41978,France,192.08,266.33,3674,8.3,31,428625,85.69,Collection not met
Shrek 2a,Animation,Spanish,45367,China,224.96,266.32,1385,5.5,69,443093,92.71,Collection not met
Hot Tub Time Machine 2a,Animation,Tamil,42394,Germany,88.56,266.31,3694,5.9,85,207150,10.69,Collection not met
Molièrea,Comedy,Japanese,40369,USA,129.26,266.17,3251,5.1,49,371798,30.34,Collection not met
Sin City: A Dame to Kill Fora,Animation,Hindi,43811,Germany,75.42,265.2,2244,5.9,83,40912,7.83,Collection not met
The Maska,Horror,Tamil,45385,Germany,258.09,264.87,1156,4.8,50,191495,27.68,Collection not met
The Next Three Daysa,Comedy,Spanish,44904,Germany,224.55,264.62,2877,4.7,94,352787,104.18,Collection not met
The Weather Mana,Sci-Fi,Korean,42803,UK,8.91,264.52,2602,8.5,64,273627,3.68,Collection not met
The Great Gatsbya,Horror,French,42381,Germany,144.74,264.01,1401,8.3,90,402955,52.21,Collection not met
Exileda,Adventure,Tamil,40319,France,273.36,263.36,3814,8.6,26,432131,82.1,Collection not met
Devila,Drama,Japanese,43447,USA,181.9,262.95,3848,8.4,53,301499,74.98,Collection not met
The Punishera,Romance,Hindi,44617,France,55.62,262.89,4228,9.7,57,35333,13.98,Collection not met
Ninea,Comedy,German,42472,France,90.27,262.82,534,4.2,35,344253,19.19,Collection not met
The Naked Gun 2½: The Smell of Feara,Sci-Fi,German,44421,China,36.89,262.39,2069,9.6,39,215215,7.14,Collection not met
Super 8a,Adventure,Korean,41145,Germany,207.85,262.17,2478,9.2,63,155473,36.07,Collection not met
Spaced Invadersa,Animation,Korean,43389,China,279.13,261.89,3244,8.3,38,164736,51.83,Collection not met
The Living Wakea,Animation,French,45418,UK,107.02,259.87,1272,7.4,27,332405,33.72,Collection not met
The Midnight Meat Traina,Adventure,English,42728,France,234.09,259.83,3083,4.4,31,346854,49.66,Collection not met
"Big Mommas: Like Father, Like Sona",Comedy,Hindi,40418,Germany,25.74,259.61,894,9.5,42,203584,2.6,Collection not met
Bill & Ted's Bogus Journeya,Action,English,41659,France,136.72,258.85,4760,4.5,50,9915,48.99,Collection not met
The Glimmer Mana,Comedy,Telugu,40248,Germany,278.34,258.83,3680,8.5,54,468447,94.98,Collection not met
The Wendell Baker Storya,Drama,German,45623,France,126.34,258.12,1487,9.3,76,232775,25.32,Collection not met
There's Something About Marya,Adventure,Telugu,41863,India,19.38,257.9,4113,8.6,81,445864,9.04,Collection not met
Caramela,Drama,Hindi,44798,UK,200.85,257.22,4368,5.1,67,232102,44.27,Collection not met
Drowning Monaa,Thriller,Chinese,41934,Japan,192.97,256.82,3603,9.5,62,75385,65.14,Collection not met
The Notebooka,Comedy,German,43618,UK,84.33,256.73,4305,9.7,30,290838,13.1,Collection not met
Promised Landa,Sci-Fi,Japanese,44811,South Korea,206.18,256.7,4830,7.1,74,227335,73.05,Collection not met
High Fidelitya,Comedy,German,41148,South Korea,189.02,256.69,3094,6.4,57,406277,92.98,Collection not met
Ella Enchanteda,Drama,Tamil,42871,China,115.99,256.55,1088,7.8,96,396452,38.14,Collection not met
New in Towna,Thriller,Telugu,40643,USA,242.79,256.08,2487,8.5,20,117716,119.48,Collection not met
A Simple Wisha,Sci-Fi,Tamil,41684,Germany,105.57,255.91,2397,9.9,49,353430,39.95,Collection not met
The Apparitiona,Comedy,English,42383,India,236.46,255.76,3777,8.6,35,7046,53.17,Collection not met
Zathura: A Space Adventurea,Sci-Fi,Japanese,43964,UK,28.12,255.64,1383,8.8,88,300615,9.59,Collection not met
Bottle Shocka,Animation,Hindi,40578,UK,21.21,255.31,3402,4.5,46,317523,7.92,Collection not met
End of Daysa,Animation,Spanish,43038,UK,230.9,255.24,3047,6,51,453072,113.52,Collection not met
The Secret Life of Petsa,Sci-Fi,Hindi,42947,South Korea,84.72,255.11,3694,6.4,98,107392,9.74,Collection not met
Silveradoa,Action,Telugu,40383,India,195.17,254.64,4921,9.2,57,46254,91.46,Collection not met
To Rome with Lovea,Romance,German,42544,USA,111.86,253.78,3305,7,28,71947,54.54,Collection not met
The Smurfs 2a,Adventure,Japanese,44855,India,109.09,253.76,2742,6.4,26,227243,31.54,Collection not met
Quinceañeraa,Animation,Hindi,43522,China,171.97,253.34,3873,6.6,55,169114,37.48,Collection not met
Brazila,Romance,Korean,42851,China,64.49,252.86,4105,9.2,38,352336,21.67,Collection not met
Mortal Kombata,Drama,German,45340,India,171.62,252.82,3984,7.6,49,115070,83.28,Collection not met
Grindhousea,Animation,Spanish,43865,USA,217.12,252.64,3131,6.6,36,233321,80.31,Collection not met
Raising Caina,Action,French,41111,Germany,31.93,252.26,551,4.5,25,435040,15.2,Collection not met
Dream Housea,Comedy,Spanish,41440,France,124.97,252.24,4855,7.2,56,279808,19.42,Collection not met
An American Carola,Thriller,Chinese,44406,UK,116.9,251.81,2855,6.8,85,311997,55.27,Collection not met
Dear Johna,Drama,German,45299,Germany,207.07,251.66,4985,8,51,373203,56.17,Collection not met
Porky'sa,Adventure,French,42537,USA,222.56,251.65,1835,8.6,52,299426,99.69,Collection not met
The Boya,Animation,Chinese,42839,India,273.63,251.61,752,7.9,51,491853,114.72,Collection not met
The Big Weddinga,Adventure,Chinese,44437,Japan,189.23,251.51,3033,6.5,30,97672,80.21,Collection not met
This Is 40a,Animation,German,40928,South Korea,294.82,251.31,3143,8.3,39,312009,132.05,Collection not met
Screama,Animation,Spanish,40796,China,108.5,251.23,2590,4.4,64,254253,32.34,Collection not met
Raiders of the Lost Arka,Animation,Japanese,42505,India,200.51,251.11,1866,9,83,266781,49.84,Collection not met
"Welcome Home, Roscoe Jenkinsa",Horror,Tamil,41018,Japan,102.39,251.03,1347,9.9,29,284034,25.97,Collection not met
The Final Destinationa,Adventure,English,42120,USA,130.13,250.97,2177,9.8,29,445080,55,Collection not met
Splicea,Drama,Hindi,40497,China,258.29,250.53,1334,7.3,71,156681,69.77,Collection not met
The Spiderwick Chroniclesa,Adventure,Tamil,40262,China,71.22,250.47,977,5,78,54965,29.72,Collection not met
Bridesmaidsa,Animation,English,45638,Japan,241.6,250.41,1915,6.9,31,311205,101.91,Collection not met
Saw IIa,Drama,Hindi,40734,South Korea,278.96,250.26,2573,8.8,67,54396,104.65,Collection not met
The Mirror Has Two Facesa,Animation,German,41700,Germany,227.38,250.09,3107,5.1,77,261996,42.44,Collection not met
Somewherea,Adventure,Japanese,41043,USA,201.71,249.81,2067,4.4,65,261237,84.34,Collection not met
The White Ribbona,Sci-Fi,Korean,45328,India,94.76,249.65,1156,9,44,65163,10.79,Collection not met
Riding in Cars with Boysa,Sci-Fi,French,41656,South Korea,39.95,249.49,3166,4.7,98,15044,10.47,Collection not met
The Sorcerer's Apprenticea,Adventure,German,41195,USA,28.66,249.47,1162,5.8,79,72337,3.83,Collection not met
The Big Teasea,Thriller,Telugu,42459,France,236.67,249.14,3881,4.8,82,41481,37.71,Collection not met
Final Destination 5a,Horror,Korean,43314,UK,284.33,248.1,2098,8.5,35,281864,32,Collection not met
Conan the Barbariana,Adventure,Korean,44553,South Korea,99.57,247.89,3720,4.9,24,485949,44.29,Collection not met
Sweet Novembera,Romance,Spanish,43729,China,237.25,247.55,2035,5.6,95,95909,68.88,Collection not met
The Last Airbendera,Animation,Spanish,42740,USA,275.56,247.04,3069,8.5,75,373147,57.81,Collection not met
Melancholiaa,Drama,German,40380,Germany,153.76,245.99,2170,6.1,67,358733,38.81,Collection not met
The Devil's Rejectsa,Romance,Korean,44096,Japan,119.94,245.94,2026,5.6,79,281963,29.5,Collection not met
Zooma,Adventure,English,44175,India,127.68,245.83,1078,7.3,79,287305,59.42,Collection not met
Once in a Lifetime: The Extraordinary Story of the New York Cosmosa,Romance,Japanese,40400,South Korea,141.57,245.56,3208,9.1,48,463970,28.95,Collection not met
Jason Lives: Friday the 13th Part VIa,Comedy,Hindi,45306,USA,277.99,244.56,3592,10,91,482229,127.53,Collection not met
Hackersa,Sci-Fi,Japanese,44100,China,290.98,244.52,2544,9,30,121677,45.43,Collection not met
Lake Placida,Thriller,Korean,41449,South Korea,79.39,244.07,4081,8.2,86,478828,14.25,Collection not met
Upa,Horror,Tamil,42804,India,278.08,243.87,4201,4.9,21,179069,97.16,Collection not met
Something's Gotta Givea,Sci-Fi,Telugu,40219,Germany,42.46,243.84,3619,6.2,79,269332,18.81,Collection not met
Bad Wordsa,Comedy,Tamil,41450,UK,223.81,243.81,1560,9.2,66,330834,27.69,Collection not met
The Last of the Mohicansa,Adventure,English,40918,UK,105.28,242.89,4930,4.9,68,465641,20.67,Collection not met
Get on Upa,Horror,Korean,45076,South Korea,205.35,242.48,4812,4.8,83,46765,54.68,Collection not met
Love Happensa,Romance,German,44671,UK,71.89,242.45,2766,4.6,74,375318,29.67,Collection not met
Desperadoa,Action,French,45388,Germany,77.24,242.15,3385,7.8,52,264426,9.51,Collection not met
The Other Side of Heavena,Drama,English,41663,Germany,67.73,242.07,3912,7.5,95,78116,15.46,Collection not met
Anonymousa,Action,Hindi,44689,Germany,267.71,241.43,3162,6.3,35,106687,76.42,Collection not met
Runner Runnera,Comedy,German,42259,China,278.13,241.27,2911,6.4,42,414440,31.59,Collection not met
Licence to Killa,Animation,Japanese,40321,Japan,130.37,241.04,1941,7.8,53,49200,22.78,Collection not met
Weekenda,Animation,French,44385,USA,99.25,240.48,3818,7.6,64,323834,37.5,Collection not met
Chill Factora,Sci-Fi,Korean,40334,UK,115.79,240.23,3333,4.7,31,422104,19.22,Collection not met
The Texas Chainsaw Massacre: The Beginninga,Comedy,Spanish,40950,China,245.13,238.96,1912,7.6,47,389533,29.44,Collection not met
This Is Ita,Sci-Fi,French,41922,USA,74.57,237.46,4111,9.3,25,223846,10.44,Collection not met
Cars 2a,Thriller,Japanese,44068,Germany,252.6,236.97,1897,6.2,22,139217,68.78,Collection not met
Elizabetha,Sci-Fi,Japanese,41234,India,145.73,236.85,2353,5.2,27,99213,55.07,Collection not met
Dooma,Animation,English,40541,UK,55.06,236.09,1899,5.8,76,413074,27.24,Collection not met
Far from Heavena,Romance,Spanish,42680,India,207.87,236.08,1537,6.5,53,321766,103.36,Collection not met
The FPa,Thriller,French,44652,Germany,282.53,235.81,1753,4.1,60,199931,105.42,Collection not met
Texas Rangersa,Animation,Korean,43537,China,210.81,235.73,3215,4.9,37,142099,48.97,Collection not met
"Mystery, Alaskaa",Thriller,French,40972,USA,160.32,235.57,3395,7.2,91,474018,25.58,Collection not met
Obliviona,Thriller,Japanese,45095,USA,172.6,234.63,637,7.9,95,206378,35.2,Collection not met
The Statementa,Action,English,41280,UK,191.36,234.21,2944,8.7,81,83866,43.86,Collection not met
Clicka,Romance,Chinese,42432,South Korea,256.12,233.87,2855,5,96,403456,44.41,Collection not met
The History Boysa,Thriller,French,44972,Japan,120.99,232.94,3322,5.7,84,17397,47.15,Collection not met
"Surfer, Dudea",Romance,English,41804,Japan,217.56,232.78,895,4.7,67,489580,83.75,Collection not met
The Quick and the Deada,Adventure,Korean,41526,Japan,257.39,232.78,3961,7,64,277823,102.24,Collection not met
Underworld: Rise of the Lycansa,Action,Hindi,43476,France,66.5,232.51,3755,6,96,281126,30.24,Collection not met
Snakes on a Planea,Adventure,French,41085,UK,222.3,231.46,4158,9.3,34,17671,90.43,Collection not met
Thora,Comedy,Tamil,43784,USA,109.46,231.23,1874,8.3,38,43489,32.52,Collection not met
Fighting Tommy Rileya,Sci-Fi,Chinese,45490,China,210.65,231.13,2773,5.9,93,261762,77.49,Collection not met
Selenaa,Thriller,Korean,43840,Japan,128.99,230.59,3341,5.3,32,395960,57.24,Collection not met
Dreamcatchera,Horror,Hindi,42367,UK,230.06,230.41,4269,8.6,28,259848,106,Collection not met
When the Cat's Awaya,Sci-Fi,Telugu,43775,Germany,210.07,230.24,1155,9.8,84,470151,75.79,Collection not met
2 Fast 2 Furiousa,Comedy,Hindi,40618,USA,223.96,230.14,3002,6.9,30,220611,44.35,Collection not met
The Curea,Animation,Hindi,40792,USA,266.31,229.89,3703,7.1,65,326331,91.59,Collection not met
Mrs. Doubtfirea,Sci-Fi,Korean,43649,UK,284.33,229.84,2749,8.3,49,359013,111.38,Collection not met
Life as a Housea,Horror,Tamil,41139,India,227.85,229.1,2318,9.8,99,334880,84.76,Collection not met
Attack the Blocka,Animation,Japanese,44960,France,125.58,228.45,2870,8.6,73,255552,57.28,Collection not met
Filly Browna,Drama,Hindi,43837,Japan,279.96,228.39,1229,7.9,83,32867,59.33,Collection not met
The Last Castlea,Animation,French,43048,South Korea,51.56,228.37,3159,5.7,46,317598,11.64,Collection not met
Envya,Thriller,Chinese,40220,UK,241.22,228.13,3728,7.3,53,438832,63.65,Collection not met
The Mummy: Tomb of the Dragon Emperora,Action,Telugu,42523,USA,111.82,227.99,1347,7.5,68,383633,47.88,Collection not met
"I, Frankensteina",Comedy,Tamil,45599,France,281.46,227.34,2395,5.5,89,244171,63.62,Collection not met
No Good Deeda,Drama,Hindi,44525,South Korea,164.24,227.22,1537,6,96,2687,23.57,Collection not met
Get Cartera,Sci-Fi,French,42669,France,222.66,226.77,3239,6.4,44,289727,79.34,Collection not met
The Big Shorta,Action,Korean,40348,Germany,55.49,226.53,2173,9.3,66,48301,8.07,Collection not met
West Side Storya,Drama,Hindi,43402,France,22.69,226.36,4982,5,43,354332,9.34,Collection not met
School for Scoundrelsa,Drama,Telugu,41037,France,118.39,226.15,1462,5.9,54,49841,41.06,Collection not met
The Lives of Othersa,Romance,French,45464,UK,124.19,226.04,3527,4,87,105515,42.97,Collection not met
American Reuniona,Comedy,Chinese,41755,USA,152.53,226.01,1040,5.5,74,241655,48.43,Collection not met
Hav Plentya,Romance,Chinese,44149,USA,265.51,225.83,1050,6.7,41,227616,42.66,Collection not met
Bogusa,Drama,English,45175,Japan,109.09,225.62,1505,4,83,355155,43.32,Collection not met
Dragon Bladea,Romance,Telugu,45614,India,2.14,225.61,3244,5.2,79,114562,0.42,Collection not met
A Nightmare on Elm Street 2: Freddy's Revengea,Animation,English,42735,USA,138.76,225.35,2847,4.5,77,448785,36.07,Collection not met
Raging Bulla,Drama,Japanese,44420,China,106.09,225.32,2988,7.7,57,36900,35.89,Collection not met
Nothing to Losea,Drama,Tamil,41736,China,147.79,225.24,2075,9.2,33,158183,17.17,Collection not met
The Hangover Part IIa,Horror,English,43470,India,120.35,224.86,4400,8.8,44,332725,46.77,Collection not met
The Last House on the Lefta,Thriller,Korean,42379,USA,142.16,224.12,2402,8.8,74,356821,16.18,Collection not met
Next Day Aira,Horror,German,41482,India,246.58,223.85,3055,4.2,29,136061,72.08,Collection not met
Stranger Than Fictiona,Sci-Fi,Tamil,40629,South Korea,150.23,223.61,502,6.7,70,220203,36.38,Collection not met
Money Traina,Horror,Chinese,44741,South Korea,206.5,223.42,662,4.7,85,461596,29.16,Collection not met
Ice Agea,Animation,French,44390,USA,255.34,223.41,2160,9.7,52,289992,36.29,Collection not met
Eye of the Beholdera,Thriller,Tamil,44115,India,245.73,223.15,1943,7.5,26,351959,86.12,Collection not met
Die Harda,Romance,Hindi,41697,India,232.23,222.49,4199,4.1,77,77823,34.91,Collection not met
Speed 2: Cruise Controla,Horror,French,44644,Japan,78.37,222.37,2200,8.9,89,492262,27.1,Collection not met
Snitcha,Action,Japanese,43997,South Korea,10.56,221.76,2460,9.1,76,407875,4.63,Collection not met
Wild Targeta,Adventure,English,43020,Japan,50.34,221.72,1229,9.4,84,57894,22.88,Collection not met
Sleep Dealera,Comedy,Telugu,45156,Germany,271.87,221.7,1760,6.9,82,33934,30.48,Collection not met
The Thin Red Linea,Animation,Japanese,44569,India,69.8,221.62,3480,6.6,75,463614,32.65,Collection not met
Apocalypse Nowa,Sci-Fi,Hindi,43770,India,41.28,221.54,2906,5.5,70,453649,17.52,Collection not met
Army of Darknessa,Sci-Fi,German,45122,China,252.27,221.35,3418,8.8,48,5210,119.62,Collection not met
Dead Man's Shoesa,Action,German,42038,India,251.4,221.34,4874,5.4,83,148627,100.3,Collection not met
Underclassmana,Drama,Japanese,45520,UK,111.95,221.34,4859,6.9,82,352783,45.29,Collection not met
Oscar and Lucindaa,Thriller,German,41803,China,263.95,221.29,4896,6.8,75,172111,92.34,Collection not met
Alfiea,Drama,Chinese,43100,South Korea,59.96,221.24,3221,4.1,90,274828,22.04,Collection not met
Public Enemiesa,Romance,Korean,42669,Germany,141.98,221.06,4792,7.1,49,157077,28.27,Collection not met
The Way of the Guna,Adventure,Japanese,41250,France,163.16,220.81,1000,4.8,60,465755,52.53,Collection not met
Solitary Mana,Adventure,Spanish,42406,UK,255.21,220.76,2690,4,37,323775,71.24,Collection not met
I Spit on Your Gravea,Drama,Japanese,44897,France,239.87,220.47,1964,9,45,332999,41.19,Collection not met
Ace Ventura: Pet Detectivea,Animation,Korean,42463,India,58.89,220.39,3397,6.1,88,49492,7.39,Collection not met
Ponyoa,Animation,French,43902,Japan,280.67,220.38,2264,7,51,176658,101.97,Collection not met
Terminator 3: Rise of the Machinesa,Animation,Japanese,43703,Germany,54.67,220.17,3750,9.4,71,459686,9.23,Collection not met
Things to Do in Denver When You're Deada,Comedy,English,42989,Germany,154.15,220.16,4300,5,48,273139,55.79,Collection not met
Tales from the Hooda,Action,French,44600,China,277.46,219.96,1581,6.2,70,326127,108.03,Collection not met
In & Outa,Thriller,English,45181,UK,185.92,219.7,3180,7.2,71,421098,53.01,Collection not met
Fatelessa,Thriller,English,43322,Germany,268.84,219.24,4187,7.2,30,254983,42.68,Collection not met
Kiss of Deatha,Horror,Tamil,42279,France,192.87,219.2,2868,8.7,81,322955,82.96,Collection not met
The Equalizera,Thriller,Japanese,43747,India,123.7,219.08,583,7.4,67,159659,28.75,Collection not met
G-Forcea,Horror,Korean,44522,India,131.07,218.86,704,5.4,82,331484,34.2,Collection not met
Rugrats Go Wilda,Animation,French,44609,UK,185.9,218.76,4548,5.3,49,21354,71.42,Collection not met
Tiny Furniturea,Thriller,Spanish,44650,China,262.85,218.69,1543,8.6,67,246445,26.97,Collection not met
Real Steela,Comedy,Korean,40330,China,201.46,218.35,2272,5.5,26,162318,22.59,Collection not met
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstana,Drama,Telugu,42341,Germany,285.06,218.34,788,8.5,71,461890,60.35,Collection not met
A Hard Day's Nighta,Comedy,Chinese,44382,India,166.21,218.06,616,9.7,76,276939,58.15,Collection not met
Concussiona,Drama,Korean,42660,USA,158.01,217.89,2381,7.3,74,322157,76.8,Collection not met
After the Sunseta,Horror,German,42321,Japan,289.16,217.88,2135,7.7,86,97243,139.37,Collection not met
Mortal Kombat: Annihilationa,Drama,Japanese,43157,Japan,69.58,217.66,3702,4.8,30,498659,23.08,Collection not met
Deuces Wilda,Animation,German,45339,USA,210.59,217.64,1767,8.2,91,399982,24.35,Collection not met
Notes on a Scandala,Comedy,German,41880,South Korea,103.14,217.39,2721,5.7,67,359289,25.38,Collection not met
Mandela: Long Walk to Freedoma,Romance,Japanese,43819,India,173.41,217.18,4574,9.9,21,396217,30.57,Collection not met
Superhero Moviea,Sci-Fi,German,41039,USA,115.59,216.97,4614,6.6,45,480896,15.86,Collection not met
The Curse of the Jade Scorpiona,Adventure,Tamil,40296,China,56.33,216.96,3385,7.8,78,481996,18.25,Collection not met
Hidalgoa,Drama,Tamil,42623,Japan,275.1,216.82,1052,5.1,32,209343,82.12,Collection not met
The Lovely Bonesa,Action,Japanese,40302,South Korea,161,216.67,1248,4.9,88,238928,19.4,Collection not met
Marmadukea,Sci-Fi,Spanish,44358,China,7.47,216.62,4873,5.2,82,458485,1.78,Collection not met
90 Minutes in Heavena,Action,German,43709,China,156.7,216.01,1891,9.4,25,475836,77.66,Collection not met
Safe Havena,Action,Korean,45185,India,243.02,215.99,918,4.2,82,66988,115.85,Collection not met
K-19: The Widowmakera,Thriller,German,44069,South Korea,281.81,215.31,1183,8.2,82,100376,127.1,Collection not met
